NOME DO ARQUIVO,TAMANHO ORIGINAL (KB),PNG - TAMANHO COMPRIMIDO (KB),COMPRESSAO PNG,JPEG - TAMANHO COMPRIMIDO (KB),COMPRESSAO JPEG,PCA-950 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-950,PCA-975 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-975,PCA-990 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-990
lung-512x512/3a4810a4_1-070.dcm,526.23,77.93,85.19,15.07,97.14,76.57,85.45,121.63,76.89,195.36,62.88
lung-512x512/088c6212_1-074.dcm,526.22,89.38,83.01,17.54,96.67,92.96,82.33,142.11,72.99,219.93,58.21
lung-512x512/df6754bf_1-117.dcm,526.21,102.19,80.58,17.62,96.65,52.00,90.12,97.05,81.56,183.07,65.21
lung-512x512/8fc9bd84_1-067.dcm,526.22,94.77,81.99,19.44,96.31,60.19,88.56,105.25,80.0,187.17,64.43
lung-512x512/05254038_1-20.dcm,526.21,91.79,82.56,18.13,96.55,31.52,94.01,64.29,87.78,138.01,73.77
lung-512x512/0b993e59_1-003.dcm,525.99,87.13,83.44,14.11,97.32,47.90,90.89,88.86,83.11,150.30,71.42
lung-512x512/0c1bc20c_1-121.dcm,526.22,90.76,82.75,16.83,96.8,52.00,90.12,92.96,82.33,158.49,69.88
lung-512x512/cd27bdf1_1-77.dcm,525.72,74.52,85.83,10.07,98.08,39.71,92.45,76.57,85.43,150.30,71.41
lung-512x512/a8db54e3_1-101.dcm,525.72,83.84,84.05,14.27,97.29,68.38,86.99,129.82,75.31,224.03,57.39
lung-512x512/d8886d3f_1-115.dcm,526.22,86.92,83.48,15.43,97.07,52.00,90.12,84.77,83.89,154.40,70.66
lung-512x512/c5c57ffc_1-010.dcm,526.20,90.23,82.85,13.51,97.43,27.42,94.79,68.38,87.0,142.11,72.99
lung-512x512/5e5f9f2d_1-002.dcm,525.72,67.76,87.11,11.38,97.84,56.09,89.33,97.05,81.54,154.40,70.63
lung-512x512/946d51fa_1-072.dcm,526.21,74.71,85.8,14.55,97.24,97.05,81.56,150.30,71.44,232.22,55.87
lung-512x512/8d1ec5d7_1-090.dcm,526.22,88.24,83.23,13.87,97.36,64.29,87.78,113.44,78.44,195.36,62.88
lung-512x512/342e60b5_1-034.dcm,526.21,88.77,83.13,14.87,97.17,56.09,89.34,109.34,79.22,195.36,62.87
lung-512x512/0d1ff4f7_1-027.dcm,526.17,97.35,81.5,16.85,96.8,47.90,90.9,92.96,82.33,174.88,66.76
lung-512x512/366c6497_1-132.dcm,526.22,95.63,81.83,19.39,96.31,27.42,94.79,52.00,90.12,117.53,77.66
lung-512x512/0c8d8d9e_1-061.dcm,526.21,90.23,82.85,18.83,96.42,60.19,88.56,109.34,79.22,187.17,64.43
lung-512x512/d5d71a36_1-083.dcm,525.73,76.63,85.42,13.99,97.34,68.38,86.99,113.44,78.42,183.07,65.18
lung-512x512/e0c07dc6_1-112.dcm,525.72,101.26,80.74,18.81,96.42,64.29,87.77,125.73,76.09,215.84,58.94
lung-512x512/264f8e00_1-056.dcm,526.32,98.81,81.23,17.97,96.59,47.90,90.9,101.15,80.78,191.26,63.66
lung-512x512/4c65f802_1-074.dcm,525.72,53.90,89.75,10.35,98.03,76.57,85.43,113.44,78.42,170.78,67.51
lung-512x512/a055a8dd_1-091.dcm,526.23,92.43,82.44,17.22,96.73,60.19,88.56,109.34,79.22,183.07,65.21
lung-512x512/f15dfb45_1-105.dcm,526.23,91.41,82.63,17.23,96.73,47.90,90.9,80.67,84.67,154.40,70.66
lung-512x512/767dce86_1-092.dcm,526.20,85.02,83.84,15.73,97.01,101.15,80.78,154.40,70.66,240.41,54.31
lung-512x512/ed1c2941_1-042.dcm,526.23,92.45,82.43,15.99,96.96,64.29,87.78,121.63,76.89,211.74,59.76
lung-512x512/90390da2_1-050.dcm,525.72,91.27,82.64,16.46,96.87,72.48,86.21,125.73,76.08,207.65,60.5
lung-512x512/3c841870_1-140.dcm,526.23,93.33,82.26,15.91,96.98,39.71,92.45,76.57,85.45,146.21,72.22
lung-512x512/4746a71a_1-18.dcm,526.22,100.97,80.81,19.14,96.36,56.09,89.34,101.15,80.78,183.07,65.21
lung-512x512/a9d8358f_1-060.dcm,526.21,73.37,86.06,14.14,97.31,68.38,87.0,117.53,77.66,195.36,62.87
lung-512x512/6d1f03fd_1-091.dcm,525.72,62.14,88.18,11.03,97.9,52.00,90.11,92.96,82.32,154.40,70.63
lung-512x512/3ce5cf2c_1-057.dcm,526.20,84.04,84.03,13.10,97.51,52.00,90.12,97.05,81.56,166.69,68.32
lung-512x512/6b5b6a40_1-014.dcm,526.23,76.45,85.47,13.18,97.5,35.61,93.23,64.29,87.78,113.44,78.44
lung-512x512/aa026f16_1-096.dcm,526.19,93.47,82.24,15.01,97.15,47.90,90.9,92.96,82.33,174.88,66.77
lung-512x512/78929b0f_1-091.dcm,526.21,89.50,82.99,18.98,96.39,72.48,86.23,117.53,77.66,195.36,62.87
lung-512x512/f24c84d6_1-010.dcm,526.20,63.04,88.02,10.35,98.03,64.29,87.78,97.05,81.56,158.49,69.88
lung-512x512/97596efb_1-073.dcm,526.20,95.38,81.87,17.11,96.75,84.77,83.89,146.21,72.21,244.51,53.53
lung-512x512/74c955b4_1-058.dcm,526.23,80.39,84.72,15.71,97.01,76.57,85.45,125.73,76.11,203.55,61.32
lung-512x512/fc6cecee_1-048.dcm,526.20,77.28,85.31,13.17,97.5,80.67,84.67,138.01,73.77,224.03,57.43
lung-512x512/05455b22_1-072.dcm,526.19,94.33,82.07,15.93,96.97,101.15,80.78,154.40,70.66,244.51,53.53
lung-512x512/72448a16_1-043.dcm,526.20,84.48,83.94,17.08,96.75,92.96,82.33,146.21,72.21,228.13,56.65
lung-512x512/3ca6ddea_1-120.dcm,526.22,72.90,86.15,11.20,97.87,52.00,90.12,84.77,83.89,150.30,71.44
lung-512x512/42a3c877_1-075.dcm,526.21,89.24,83.04,17.78,96.62,76.57,85.45,125.73,76.11,211.74,59.76
lung-512x512/e12eb391_1-095.dcm,525.72,90.18,82.85,14.36,97.27,43.81,91.67,76.57,85.43,133.92,74.53
lung-512x512/4682705e_1-044.dcm,526.23,92.28,82.46,15.98,96.96,68.38,87.01,129.82,75.33,219.93,58.21
lung-512x512/c7346a0c_1-015.dcm,526.22,73.65,86.0,13.87,97.36,52.00,90.12,88.86,83.11,150.30,71.44
lung-512x512/14a8060e_1-055.dcm,526.17,97.48,81.47,18.53,96.48,76.57,85.45,133.92,74.55,224.03,57.42
lung-512x512/b45b7064_1-117.dcm,526.20,107.90,79.49,17.85,96.61,31.52,94.01,64.29,87.78,129.82,75.33
lung-512x512/fd7d4d7d_1-88.dcm,526.20,89.56,82.98,13.32,97.47,56.09,89.34,97.05,81.56,162.59,69.1
lung-512x512/b85d485c_1-130.dcm,526.22,96.99,81.57,20.02,96.2,27.42,94.79,47.90,90.9,105.25,80.0
lung-512x512/ddfb1216_1-054.dcm,526.19,77.45,85.28,12.18,97.69,88.86,83.11,138.01,73.77,219.93,58.2
lung-512x512/80c36b08_1-090.dcm,525.73,82.83,84.24,14.02,97.33,60.19,88.55,105.25,79.98,170.78,67.52
lung-512x512/dd07d2f0_1-095.dcm,526.21,102.31,80.56,21.12,95.99,56.09,89.34,101.15,80.78,174.88,66.77
lung-512x512/62e9f13a_1-071.dcm,526.22,83.79,84.08,16.66,96.83,72.48,86.23,117.53,77.66,191.26,63.65
lung-512x512/681ad9f0_1-131.dcm,526.22,87.58,83.36,15.65,97.03,39.71,92.45,76.57,85.45,138.01,73.77
lung-512x512/6b31532e_1-045.dcm,526.20,94.57,82.03,15.37,97.08,60.19,88.56,117.53,77.66,207.65,60.54
lung-512x512/2018f535_1-120.dcm,526.21,77.20,85.33,11.54,97.81,47.90,90.9,88.86,83.11,154.40,70.66
