NOME DO ARQUIVO,TAMANHO ORIGINAL (KB),PNG - TAMANHO COMPRIMIDO (KB),COMPRESSAO PNG,JPEG - TAMANHO COMPRIMIDO (KB),COMPRESSAO JPEG,PCA-950 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-950,PCA-975 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-975,PCA-990 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-990,MSE PNG,PSNR PNG,MSE JPEG,PSNR JPEG,MSE PCA-950,PSNR PCA-950,MSE PCA-975,PSNR PCA-975,MSE PCA-990,PSNR PCA-990
lung-512x512/18b4867f_1-107.dcm,525.72,93.67,82.18,14.75,97.19,35.61,93.23,68.38,86.99,133.92,74.53,0,inf,3.01,43.35,23.79,34.37,18.54,35.45,11.26,37.62
lung-512x512/daf548fb_1-090.dcm,526.19,89.92,82.91,13.82,97.37,47.9,90.9,80.67,84.67,146.21,72.21,0,inf,2.37,44.38,20.93,34.92,15.98,36.1,9.3,38.45
lung-512x512/bd6c3161_1-063.dcm,526.21,100.57,80.89,18.51,96.48,76.57,85.45,129.82,75.33,215.84,58.98,0,inf,3.78,42.36,31.19,33.19,22.94,34.52,13.65,36.78
lung-512x512/fd33ee15_1-019.dcm,526.22,65.05,87.64,11.74,97.77,60.19,88.56,97.05,81.56,154.4,70.66,0,inf,1.14,47.56,16.06,36.07,11.25,37.62,6.01,40.34
lung-512x512/211cd580_1-071.dcm,526.23,90.45,82.81,17.57,96.66,88.86,83.11,138.01,73.77,219.93,58.21,0,inf,2.83,43.61,28.41,33.6,21,34.91,12.16,37.28
lung-512x512/95cb315c_1-067.dcm,526.21,85.82,83.69,16.29,96.9,80.67,84.67,125.73,76.11,203.55,61.32,0,inf,2.23,44.65,21.61,34.78,15.79,36.15,9.13,38.53
lung-512x512/1-280.dcm,526.23,90.23,82.85,14.47,97.25,23.33,95.57,52,90.12,101.15,80.78,0,inf,2.58,44.01,25.48,34.07,20.85,34.94,13.34,36.88
lung-512x512/786e4af5_1-073.dcm,525.73,93,82.31,17.39,96.69,56.09,89.33,101.15,80.76,170.78,67.52,0,inf,2.88,43.54,28.74,33.55,22.39,34.63,14.35,36.56
lung-512x512/1-080.dcm,526.21,89.25,83.04,15.62,97.03,68.38,87,113.44,78.44,183.07,65.21,0,inf,2.7,43.82,23.99,34.33,17.78,35.63,10.86,37.77
lung-512x512/c109fdf8_1-020.dcm,526.21,76.13,85.53,13.52,97.43,64.29,87.78,105.25,80,170.78,67.54,0,inf,1.54,46.26,17.62,35.67,12.64,37.11,7.2,39.56
